word,yomi,syllables,season
バレンタインデー,ばれんたいんでー,8,spring
晩春,ばんしゅん,4,spring
彼岸,ひがん,3,spring
彼岸会,ひがんえ,4,spring
彼岸桜,ひがんざくら,6,spring
引鴨,ひきがも,4,spring
引鶴,ひきづる,4,spring
蘖,ひこばえ,4,spring
菱餅,ひしもち,4,spring
鹿尾菜,ひじき,3,spring
干鱈,ひだら,3,spring
羊の毛刈る,ひつじのけかる,7,spring
ひとで,ひとで,3,spring
人麻呂忌,ひとまろき,5,spring
一人静,ひとりしずか,6,spring
雛市,ひないち,4,spring
雛納め,ひなおさめ,5,spring
日永,ひなが,3,spring
雛菊,ひなぎく,4,spring
雛流し,ひなながし,5,spring
雛祭,ひなまつり,5,spring
雲雀,ひばり,3,spring
ヒヤシンス,ひやしんす,5,spring
ビキニ忌,びきにき,4,spring
風生忌,ふうせいき,5,spring
風船,ふうせん,4,spring
蕗の薹,ふきのとう,5,spring
蕗味噌,ふきみそ,4,spring
藤,ふじ,2,spring
二人静,ふたりしずか,6,spring
復活祭,ふっかつさい,6,spring
二日灸,ふつかきゅう,5,spring
フリージア,ふりーじあ,5,spring
古草,ふるくさ,4,spring
仏生会,ぶっしょうえ,5,spring
ぶらんこ,ぶらんこ,4,spring
蛇穴を出づ,へびあなをいづ,7,spring
ヘリオトロープ,へりおとろーぷ,7,spring
遍路,へんろ,3,spring
抱卵期,ほうらんき,5,spring
菠薐草,ほうれんそう,6,spring
頬白,ほおじろ,4,spring
干鰈,ほしがれい,5,spring
蛍烏賊,ほたるいか,5,spring
防風摘む,ぼうふうつむ,6,spring
木瓜の花,ぼけのはな,5,spring
牡丹の芽,ぼたんのめ,5,spring
ボートレース,ぼーとれーす,6,spring
真菰の芽,まこものめ,5,spring
鱒,ます,2,spring
松の花,まつのはな,5,spring
松毟鳥,まつむしり,5,spring
馬蛤貝,まてがい,4,spring
蝮草,まむしぐさ,5,spring
豆の花,まめのはな,5,spring
金縷梅,まんさく,4,spring
御影供,みえいく,4,spring
水草生ふ,みずくさおう,6,spring
水菜,みずな,3,spring
水温む,みずぬるむ,5,spring
三葉芹,みつばせり,5,spring
三椏の花,みつまたのはな,7,spring
緑の週間,みどりのしゅうかん,8,spring
みどりの日,みどりの日,5,spring
水口祭,みなくちまつり,7,spring
峰入り,みねいり,4,spring
壬生念仏,みぶねんぶつ,6,spring
ミモザの花,みもざのはな,6,spring
都踊,みやこおどり,6,spring
都忘れ,みやこわすれ,6,spring
茗荷竹,みょうがたけ,5,spring
麦鶉,むぎうずら,5,spring
麦踏,むぎふみ,4,spring
葎若葉,むぐらわかば,6,spring
蒸鰈,むしがれい,5,spring
睦五郎,むつごろう,5,spring
郁子の花,むべのはな,5,spring
鳴雪忌,めいせつき,5,spring
目刺,めざし,3,spring
目貼剥ぐ,めばりはぐ,5,spring
メーデー,めーでー,4,spring
茂吉忌,もきちき,4,spring
木蓮,もくれん,4,spring
海雲,もずく,3,spring
物種蒔く,ものだねまく,6,spring
ものの芽,もののめ,4,spring
桃の節句,もものせっく,6,spring
桃の花,もものはな,5,spring
諸子,もろこ,3,spring
八重桜,やえざくら,5,spring
焼野,やけの,3,spring
靖国祭,やすくにまつり,7,spring
安良居祭,やすらういまつり,8,spring
寄居虫,やどかり,4,spring
柳,やなぎ,3,spring
柳の芽,やなぎのめ,5,spring
柳鮠,やなぎはえ,5,spring
屋根替,やねかえ,4,spring
山桜,やまざくら,5,spring
山吹,やまぶき,4,spring
山吹草,やまぶきそう,6,spring
山焼く,やまやく,4,spring
山笑う,やまわらう,5,spring
弥生,やよい,3,spring
雪囲とる,ゆきがこいとる,7,spring
雪形,ゆきがた,4,spring
雪しろ,ゆきしろ,4,spring
雪解,ゆきどけ,4,spring
雪の果,ゆきのはて,5,spring
雪間,ゆきま,3,spring
雪虫,ゆきむし,4,spring
雪柳,ゆきやなぎ,5,spring
雪割,ゆきわり,4,spring
雪割草,ゆきわりそう,6,spring
行く春,ゆくはる,4,spring
山桜桃の花,ゆすらのはな,6,spring
余寒,よかん,3,spring
義仲忌,よしなかき,5,spring
吉野の花会式,よしののはなえしき,9,spring
嫁菜,よめな,3,spring
蓬,よもぎ,3,spring
ライラック,らいらっく,5,spring
落花,らっか,3,spring
利休忌,りきゅうき,4,spring
立春,りっしゅん,4,spring
柳絮,りゅうじょ,3,spring
龍天に昇る,りゅうてんにのぼる,8,spring
流氷,りゅうひょう,4,spring
良寛忌,りょうかんき,5,spring
リラ冷え,りらびえ,4,spring
